"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"data.table","data.table","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.13.0",NA,"R (>= 3.1.0)","methods",NA,"bit64, curl, R.utils, xts, nanotime, zoo, yaml, knitr,
rmarkdown",NA,"MPL-2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"datasets","datasets","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.0.2","base",NA,NA,NA,NA,NA,"Part of R 4.0.2",NA,NA,NA,NA,NA,"4.0.2"
"DBI","DBI","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1.0",NA,"methods, R (>= 3.0.0)",NA,NA,"blob, covr, hms, knitr, magrittr, rmarkdown, rprojroot,
RSQLite (>= 1.1-2), testthat, xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.2"
"DEoptimR","DEoptimR","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0-8",NA,NA,"stats",NA,NA,"robustbase","GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"desc","desc","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2.0",NA,"R (>= 3.1.0)","assertthat, utils, R6, crayon, rprojroot",NA,"covr, testthat, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"descriptr","descriptr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.5.1",NA,"R(>= 3.2)","cli, dplyr, ggplot2, graphics, gridExtra, magrittr, purrr,
rlang, scales, stats, tibble, tidyr, utils, vistributions,
xplorerr",NA,"covr, knitr, rmarkdown, testthat, vdiffr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"DescTools","DescTools","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.99.38",NA,"base, stats, R (>= 3.6.0)","graphics, grDevices, methods, MASS, utils, boot, mvtnorm,
expm, Rcpp (>= 0.12.10), rstudioapi, Exact, gld","Rcpp, BH","RDCOMClient, tcltk, VGAM, R.rsp",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"devtools","devtools","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.3.2",NA,"R (>= 3.0.2), usethis (>= 1.6.3)","callr (>= 3.4.4), cli (>= 2.0.2), covr (>= 3.5.1), desc (>=
1.2.0), DT (>= 0.15), ellipsis (>= 0.3.1), httr (>= 1.4.2),
jsonlite (>= 1.7.1), memoise (>= 1.1.0), pkgbuild (>= 1.1.0),
pkgload (>= 1.1.0), rcmdcheck (>= 1.3.3), remotes (>= 2.2.0),
rlang (>= 0.4.7), roxygen2 (>= 7.1.1), rstudioapi (>= 0.11),
rversions (>= 2.0.2), sessioninfo (>= 1.1.1), stats, testthat
(>= 2.3.2), tools, utils, withr (>= 2.2.0)",NA,"BiocManager (>= 1.30.10), curl (>= 4.3), digest (>= 0.6.25),
foghorn (>= 1.3.1), gmailr (>= 1.0.0), knitr (>= 1.29), lintr
(>= 2.0.1), MASS, mockery (>= 0.4.2), pingr (>= 2.0.1), pkgdown
(>= 1.6.1), rhub (>= 1.1.1), rmarkdown (>= 2.3), spelling (>=
2.1)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"diffobj","diffobj","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3.0",NA,"R (>= 3.1.0)","crayon (>= 1.3.2), tools, methods, utils, stats",NA,"knitr, rmarkdown, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"digest","digest","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.6.25",NA,"R (>= 3.1.0)","utils",NA,"tinytest, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"dplyr","dplyr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.2",NA,"R (>= 3.2.0)","ellipsis, generics, glue (>= 1.3.2), lifecycle (>= 0.2.0),
magrittr (>= 1.5), methods, R6, rlang (>= 0.4.7), tibble (>=
2.1.3), tidyselect (>= 1.1.0), utils, vctrs (>= 0.3.2)",NA,"bench, broom, callr, covr, DBI, dbplyr (>= 1.4.3), knitr,
Lahman, lobstr, microbenchmark, nycflights13, purrr, rmarkdown,
RMySQL, RPostgreSQL, RSQLite, testthat (>= 2.1.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"DT","DT","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.15",NA,NA,"htmltools (>= 0.3.6), htmlwidgets (>= 1.3), jsonlite (>=
0.9.16), magrittr, crosstalk, promises",NA,"knitr (>= 1.8), rmarkdown, shiny (>= 1.2.0), testit",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"e1071","e1071","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.7-3",NA,NA,"graphics, grDevices, class, stats, methods, utils",NA,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"ellipsis","ellipsis","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3.1",NA,"R (>= 3.2)","rlang (>= 0.3.0)",NA,"covr, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"evaluate","evaluate","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.14",NA,"R (>= 3.0.2)","methods",NA,"testthat, lattice, ggplot2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.1"
"Exact","Exact","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0",NA,"R (>= 3.1.0)","graphics, stats",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"expm","expm","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.999-5",NA,"Matrix","methods",NA,"RColorBrewer, sfsmisc, Rmpfr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"fansi","fansi","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.4.1",NA,"R (>= 3.1.0)",NA,NA,"unitizer, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"farver","farver","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0.3",NA,NA,NA,NA,"testthat (>= 2.1.0), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"fastmap","fastmap","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.1",NA,NA,NA,NA,"testthat (>= 2.1.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"fontBitstreamVera","fontBitstreamVera","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.1",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"file LICENCE","yes",NA,NA,NA,"no","4.0.2"
"fontLiberation","fontLiberation","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.0",NA,"R (>= 3.0)",NA,NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"no","4.0.2"
"fontquiver","fontquiver","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2.1",NA,"R (>= 3.0.0)","fontBitstreamVera (>= 0.1.0), fontLiberation (>= 0.1.0)",NA,"testthat, htmltools",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"forcats","forcats","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.5.0",NA,"R (>= 3.2)","ellipsis, magrittr, rlang, tibble",NA,"covr, ggplot2, testthat, readr, knitr, rmarkdown, dplyr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"foreign","foreign","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.8-80","recommended","R (>= 4.0.0)","methods, utils, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"Formula","Formula","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2-3",NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.2"
"formula.tools","formula.tools","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.7.1",NA,"R (>= 3.0.0)","operator.tools(>= 1.4.0), utils, methods",NA,"magrittr, testthat",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"freetypeharfbuzz","freetypeharfbuzz","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2.5",NA,"R (>= 3.2)","fontquiver",NA,"covr, testthat",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"fs","fs","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.5.0",NA,"R (>= 3.1)","methods",NA,"testthat, covr, pillar (>= 1.0.0), tibble (>= 1.1.0), crayon,
rmarkdown, knitr, withr, spelling, vctrs (>= 0.3.0)",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"gdtools","gdtools","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2.2",NA,NA,"Rcpp (>= 0.12.12), systemfonts (>= 0.1.1)","Rcpp","htmltools, testthat, fontquiver (>= 0.2.0), curl",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"generics","generics","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.0.2",NA,"R (>= 3.1)","methods",NA,"covr, pkgload, testthat, tibble",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"geosphere","geosphere","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.5-10",NA,"R (>= 3.0.0)","sp",NA,"methods, raster",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.2"
"GGally","GGally","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0.0",NA,"R (>= 3.1), ggplot2 (>= 3.3.0)","grDevices, grid, gtable (>= 0.2.0), plyr (>= 1.8.3), progress,
RColorBrewer, reshape (>= 0.8.5), scales (>= 1.1.0), utils,
rlang, lifecycle",NA,"broom (>= 0.4.0), chemometrics, geosphere (>= 1.5-1),
ggforce, Hmisc, igraph (>= 1.0.1), intergraph (>= 2.0-2), maps
(>= 3.1.0), mapproj, network (>= 1.12.0), scagnostics, sna (>=
2.3-2), survival, rmarkdown, roxygen2, testthat, crosstalk,
knitr, spelling",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"no","4.0.2"
"ggforce","ggforce","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3.2",NA,"ggplot2 (>= 3.0.0), R (>= 3.3.0)","Rcpp (>= 0.12.2), grid, scales, MASS, tweenr (>= 0.1.5),
gtable, rlang, polyclip, stats, grDevices, tidyselect, withr,
utils","Rcpp, RcppEigen","sessioninfo, concaveman, deldir, reshape2, units (>= 0.4-6),
covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"ggplot2","ggplot2","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.3.2",NA,"R (>= 3.2)","digest, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
MASS, mgcv, rlang (>= 0.3.0), scales (>= 0.5.0), stats, tibble,
withr (>= 2.0.0)",NA,"covr, dplyr, ggplot2movies, hexbin, Hmisc, knitr, lattice,
mapproj, maps, maptools, multcomp, munsell, nlme, profvis,
quantreg, RColorBrewer, rgeos, rmarkdown, rpart, sf (>= 0.7-3),
svglite (>= 1.2.0.9001), testthat (>= 2.1.0), vdiffr (>= 0.3.0)","sp","GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"ggplot2movies","ggplot2movies","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.0.1",NA,"R (>= 2.10.0)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"gh","gh","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1.0",NA,NA,"cli, ini, jsonlite, httr (>= 1.2)",NA,"covr, keyring, pingr, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"git2r","git2r","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.27.1",NA,"R (>= 3.1)","graphics, utils",NA,"getPass",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"gld","gld","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.6.2",NA,NA,"stats, graphics, e1071, lmom",NA,"",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"glue","glue","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.4.2",NA,"R (>= 3.2)","methods",NA,"testthat, covr, magrittr, crayon, knitr, rmarkdown, DBI,
RSQLite, R.utils, forcats, microbenchmark, rprintf, stringr,
ggplot2, dplyr, withr, vctrs (>= 0.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"goftest","goftest","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2-2",NA,"R (>= 3.3)","stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"graphics","graphics","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.0.2","base",NA,"grDevices",NA,NA,NA,"Part of R 4.0.2",NA,NA,NA,NA,"yes","4.0.2"
"grDevices","grDevices","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.0.2","base",NA,NA,NA,"KernSmooth",NA,"Part of R 4.0.2",NA,NA,NA,NA,"yes","4.0.2"
"grid","grid","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.0.2","base",NA,"grDevices, utils",NA,"lattice",NA,"Part of R 4.0.2",NA,NA,NA,NA,"yes","4.0.2"
"gridExtra","gridExtra","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.3",NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"gtable","gtable","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3.0",NA,"R (>= 3.0)","grid",NA,"covr, testthat, knitr, rmarkdown, ggplot2, profvis",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"haven","haven","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.3.1",NA,"R (>= 3.2)","forcats (>= 0.2.0), hms, methods, Rcpp (>= 0.11.4), readr (>=
0.1.0), rlang (>= 0.4.0), tibble, tidyselect, vctrs (>= 0.3.0)","Rcpp","covr, fs, knitr, rmarkdown, testthat, pillar (>= 1.4.0), cli,
crayon",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"hexbin","hexbin","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.28.1",NA,"R (>= 2.0.1), methods","lattice, grid, graphics, grDevices, stats, utils",NA,"marray, affy, Biobase, limma, knitr",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"highr","highr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.8",NA,"R (>= 3.2.3)",NA,NA,"knitr, testit",NA,"GPL",NA,NA,NA,NA,"no","4.0.2"
"Hmisc","Hmisc","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.4-1",NA,"lattice, survival (>= 3.1-6), Formula, ggplot2 (>= 2.2)","methods, latticeExtra, cluster, rpart, nnet, foreign, gtable,
grid, gridExtra, data.table, htmlTable (>= 1.11.0), viridis,
htmltools, base64enc",NA,"acepack, chron, rms, mice, tables, knitr, plotly (>= 4.5.6),
rlang, plyr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"hms","hms","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.5.3",NA,NA,"methods, pkgconfig, rlang, vctrs (>= 0.2.1)",NA,"crayon, lubridate, pillar (>= 1.1.0), testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"htmlTable","htmlTable","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.1.0",NA,NA,"stringr, knitr (>= 1.6), magrittr (>= 1.5), methods,
checkmate, htmlwidgets, htmltools, rstudioapi (>= 0.6)",NA,"testthat, XML, xml2, Hmisc, reshape, rmarkdown, chron,
lubridate, tibble, purrr, tidyselect, glue, rlang, tidyr (>=
0.7.2), dplyr (>= 0.7.4)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.2"
"htmltools","htmltools","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.5.0",NA,"R (>= 2.14.1)","utils, digest, grDevices, base64enc, rlang",NA,"markdown, testthat, withr, Cairo, ragg","knitr","GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"htmlwidgets","htmlwidgets","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.5.1",NA,NA,"grDevices, htmltools (>= 0.3), jsonlite (>= 0.9.16), yaml",NA,"knitr (>= 1.8)","shiny (>= 1.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"httpuv","httpuv","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.5.4",NA,"R (>= 2.15.1)","Rcpp (>= 0.11.0), utils, R6, promises, later (>= 0.8.0)","Rcpp, BH, later","testthat, callr, curl, websocket",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"httr","httr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.4.2",NA,"R (>= 3.2)","curl (>= 3.0.0), jsonlite, mime, openssl (>= 0.8), R6",NA,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"hunspell","hunspell","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.0",NA,"R (>= 3.0.2)","Rcpp, digest","Rcpp (>= 0.12.12)","spelling, testthat, pdftools, janeaustenr, wordcloud2, knitr,
stopwords, rmarkdown",NA,"GPL-2 | LGPL-2.1 | MPL-1.1",NA,NA,NA,NA,"yes","4.0.2"
"igraph","igraph","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2.5",NA,"methods","graphics, grDevices, magrittr, Matrix, pkgconfig (>= 2.0.0),
stats, utils",NA,"ape, digest, graph, igraphdata, rgl, scales, stats4, tcltk,
testthat, withr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"infer","infer","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.5.3",NA,"R (>= 3.5.0)","dplyr (>= 0.7.0), methods, tibble, rlang (>= 0.2.0), ggplot2,
magrittr, glue (>= 1.3.0), grDevices, purrr",NA,"broom, devtools (>= 1.12.0), knitr, tidyr, rmarkdown,
nycflights13, stringr, testthat, covr, vdiffr, fs",NA,"CC0",NA,NA,NA,NA,"no","4.0.2"
"ini","ini","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3.1",NA,NA,NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"intergraph","intergraph","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0-2",NA,NA,"network (>= 1.4-1-1), igraph (>= 0.6-0), utils",NA,"testthat, roxygen2, knitr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"isoband","isoband","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2.2",NA,NA,"grid, utils","testthat","covr, ggplot2, knitr, magick, microbenchmark, rmarkdown, sf,
testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"janitor","janitor","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0.1",NA,"R (>= 3.1.2)","dplyr (>= 0.7.0), lifecycle, lubridate, magrittr, purrr,
rlang, stringi, stringr, snakecase (>= 0.9.2), tidyselect (>=
1.0.0), tidyr (>= 0.7.0)",NA,"knitr, rmarkdown, sf, testthat, tibble, tidygraph",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"jpeg","jpeg","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1-8.1",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"jsonlite","jsonlite","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.7.1",NA,"methods",NA,NA,"httr, curl, plyr, testthat, knitr, rmarkdown, R.rsp, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"KernSmooth","KernSmooth","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.23-17","recommended","R (>= 2.5.0), stats",NA,NA,"MASS",NA,"Unlimited",NA,NA,NA,NA,"yes","4.0.2"
